coef_m1,std_m1,coef_m2,std_m2,coef_m3,std_m3,coef_m4,std_m4,coef_m5,std_m5,coef_m6,std_m6,coef_m7,std_m7,coef_m8,std_m8,coef_m9,std_m9,coef_m10,std_m10,coef_m11,std_m11,coef_m12,std_m12,coef_m13,std_m13,coef_m14,std_m14,coef_m15,std_m15,feature,imp_mean_m1,imp_std_m1,imp_mean_m2,imp_std_m2,imp_mean_m3,imp_std_m3,imp_mean_m4,imp_std_m4,imp_mean_m5,imp_std_m5,imp_mean_m6,imp_std_m6,imp_mean_m7,imp_std_m7,imp_mean_m8,imp_std_m8,imp_mean_m9,imp_std_m9,imp_mean_m10,imp_std_m10,imp_mean_m11,imp_std_m11,imp_mean_m12,imp_std_m12,imp_mean_m13,imp_std_m13,imp_mean_m14,imp_std_m14,imp_mean_m15,imp_std_m15
0.4054,0.011,0.0631,0.004,0.0225,0.002,0.0747,0.002,0.2386,0.007,0.2098,0.028,2.3629,0.085,0.9173,0.144,0.5389,0.023,1.2582,0.132,1.2151,0.217,0.8791,0.109,0.3783,0.026,2.3648,0.085,9.9162,1.14,prima_dom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012471463159835494,0.0,-0.000956245836960079,0.0,1.4174050418036543e-05,0.0,-0.005082545509139891,0.0,-0.004178860871436596,0.0,0.0,0.0,0.0001935281526842525,0.0,5.7465770540110483e-05,0.0,-8.528246997485667e-09,0.0
0.4054,0.013,0.0726,0.005,0.0229,0.002,0.0743,0.002,0.2382,0.008,0.1812,0.029,2.3704,0.094,0.6765,0.148,0.5608,0.025,1.2514,0.13,1.2234,0.25,0.9464,0.138,0.3955,0.028,2.3731,0.094,9.6535,1.209,desc_sem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.142395995791585e-05,0.0,-0.0018094831131776346,0.0,1.355661895963145e-06,0.0,0.0027768832214860595,0.0,0.0021750566632835477,0.0,0.0,0.0,8.558091888211106e-05,0.0,7.736844319605751e-05,0.0,-1.1716089876045999e-08,0.0
0.4054,0.009,0.0636,0.004,0.0216,0.002,0.0751,0.002,0.2369,0.006,0.2032,0.023,2.3675,0.066,0.8053,0.118,0.5289,0.018,1.1738,0.103,1.1867,0.181,0.9417,0.099,0.3918,0.02,2.3694,0.066,9.6559,0.876,desc_ob,-0.0002000800320127727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.0,0.0,0.0002162141397210604,0.0,-0.001128433150370256,0.0,1.138010589096794e-07,0.0,-0.0004952076014888007,0.0,0.005058071204555481,0.0,2.647112320963707e-05,0.0,8.089917213816022e-05,0.0,-6.91484911544693e-05,0.0,-4.459324243200058e-09,0.0
0.4054,0.005,0.0591,0.003,0.0188,0.001,0.0749,0.001,0.2394,0.003,0.1941,0.016,2.3778,0.039,0.8411,0.087,0.5498,0.012,1.1939,0.062,1.2582,0.111,0.9935,0.048,0.3882,0.012,2.3812,0.039,9.9419,0.534,sarimssinf,-0.0002000800320127727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002000800320128837,0.0,0.0,0.0,0.000567095998194711,0.0,-0.002191681202560858,0.0,0.0001906285931476681,0.0,0.001204063031309488,0.0,0.009271114174196682,0.0,4.0383296532331414e-05,0.0,0.0017704478309228389,0.0,0.005367933719187534,0.0,-3.192613950986356e-09,0.0
0.4054,0.007,0.0604,0.003,0.0181,0.002,0.0748,0.001,0.2432,0.005,0.1878,0.021,2.3807,0.053,0.7023,0.11,0.5417,0.015,1.2,0.087,1.2473,0.181,0.9565,0.075,0.4045,0.019,2.3843,0.053,9.5366,0.772,utilidades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004852141049812575,0.0,-0.008024968165116775,0.0,0.00010999642772646645,0.0,-0.012890659500499169,0.0,-0.003730590088384389,0.0,0.00103242713964935,0.0,0.0023984171217494854,0.0,0.0016568228978210975,0.0,-3.0847608467610144e-08,0.0
1.397e-07,2.27e-08,2.538e-08,7.74e-09,3.624e-08,3.86e-09,2.743e-08,4.23e-09,5.775e-08,1.39e-08,4.716e-08,1.8e-08,5.67e-06,4.76e-07,2.065e-07,9.14e-08,1.348e-06,1.28e-07,3.77e-06,8.06e-07,1.202e-07,7.93e-08,1.921e-07,1.9e-07,3.011e-07,8.1e-08,5.676e-06,4.77e-07,1.178e-06,6.56e-07,monto_recsueldo,0.0028011204481793173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00400160064025612,0.0,0.0,0.0,0.0017288735043088366,0.0,-5.9658985815260195,0.0,0.032429012899229503,0.0,2.4350080878298286,0.0,0.2595697929890345,0.0,0.0006470824977163891,0.0,0.007021264013698292,0.0,1.541279579790086,0.0,-2.879773725794621e-05,0.0
0.4054,0.005,0.0506,0.003,0.0177,0.001,0.0753,0.001,0.2369,0.004,0.213,0.018,2.3594,0.039,0.9619,0.095,0.5374,0.012,1.1718,0.083,1.212,0.123,0.9553,0.054,0.3827,0.014,2.361,0.039,10.1117,0.683,nulidad,-0.0002000800320127727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004001600640255454,0.0,0.0,0.0,0.000526939918077507,0.0,-0.002879589457180032,0.0,0.0016560613032078342,0.0,0.00469361072191532,0.0,0.006406272421117465,0.0,0.00015009898493401064,0.0,0.0009365210533816004,0.0,-4.9042512426655804e-06,0.0,-1.2725571485461273e-08,0.0
0.4054,0.001,0.0574,0.002,0.018,0.001,0.0749,0.0,0.241,0.001,0.1937,0.011,2.3645,0.008,0.8516,0.059,0.5376,0.006,1.1676,0.024,1.2141,0.036,0.9643,0.023,0.3832,0.006,2.3671,0.008,10.0129,0.166,vac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2707858544099864e-05,0.0,0.0015997869532640152,0.0,-1.630812805908377e-07,0.0,0.009488706781667133,0.0,-0.0018403286009637254,0.0,0.0,0.0,3.5672185646484778e-06,0.0,0.0026279431906715,0.0,-2.040239310829861e-09,0.0
0.4054,0.001,0.0576,0.002,0.0182,0.001,0.0749,0.0,0.241,0.001,0.1956,0.011,2.3644,0.009,0.8609,0.059,0.5387,0.006,1.1694,0.025,1.2163,0.035,0.9681,0.022,0.3859,0.006,2.3669,0.009,9.9841,0.178,ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611893513712829e-05,0.0,0.00033525019452440574,0.0,-1.0570331054893245e-08,0.0,0.013771510346259674,0.0,-0.002610721163718077,0.0,0.0,0.0,5.1664567474185574e-05,0.0,-3.331390284344593e-05,0.0,3.3193752191351678e-09,0.0
0.4054,0.015,0.0634,0.006,0.0195,0.003,0.0751,0.003,0.2405,0.009,0.1951,0.036,2.3766,0.118,0.8471,0.195,0.5769,0.031,1.16,0.173,1.2681,0.32,1.1421,0.123,0.3855,0.034,2.3769,0.118,9.8022,1.533,codem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026314448072373153,0.0,0.0030721567650005,0.0,0.000123382850537479,0.0,0.524406178135223,0.0,0.0060550343233795045,0.0,0.0,0.0,0.0011004969669298204,0.0,0.0027652124508591447,0.0,-1.3728862269246633e-08,0.0
0.4054,0.004,0.0596,0.002,0.0196,0.001,0.0752,0.001,0.2426,0.003,0.2017,0.013,2.3703,0.029,0.8384,0.073,0.537,0.009,1.1738,0.049,1.1901,0.081,0.9695,0.045,0.3735,0.011,2.3727,0.029,9.8957,0.401,horas_extra,0.0002000800320128282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031172771687393297,0.0,0.06629663586018353,0.0,6.514731890061576e-06,0.0,1.4353484193275108,0.0,0.0002671773651919951,0.0,9.283247144864504e-05,0.0,1.859263303150005e-05,0.0,0.03606123496446956,0.0,-1.4503794387721314e-08,0.0
0.2243,0.002,0.0288,0.001,0.0115,0.001,0.0404,0.0,0.1436,0.001,0.1299,0.007,1.3141,0.014,0.4692,0.041,0.3046,0.005,0.6796,0.031,0.6422,0.038,0.5851,0.025,0.2212,0.005,1.3154,0.014,5.5883,0.245,antiguedad,0.0,0.0,0.011204481792717047,0.0,0.006802721088435382,0.0,0.0,0.0,-0.0014005602240896309,0.0,0.0023148148148147696,0.0,0.14098635348376065,0.0,1524425.6039417358,0.0,0.018262129582157116,0.0,27132725.804558203,0.0,0.019345063865028655,0.0,0.007735603718062589,0.0,0.047443941360731046,0.0,58987781494.60596,0.0,-0.0045954389609697,0.0
0.0698,0.0,0.0101,0.0,0.0033,0.0,0.0129,3.51e-05,0.0423,0.0,0.0341,0.002,0.4096,0.001,0.1434,0.01,0.0942,0.001,0.2037,0.003,0.2057,0.004,0.1677,0.004,0.066,0.001,0.41,0.001,1.703,0.023,salario_diario,0.0,0.0,0.009003601440576214,0.0,0.006202480992396953,0.0,0.0,0.0,0.0004001600640256564,0.0,0.0023148148148147696,0.0,0.11956273854173771,0.0,160723712324790.44,0.0,0.8296556916261664,0.0,7310074210137.597,0.0,0.11680396537512394,0.0,0.2500537805035845,0.0,0.2141008674330449,0.0,5659652391802559.0,0.0,64462.33763444424,0.0
0.1001,0.0,0.0144,0.0,0.0046,0.0,0.0185,3.75e-05,0.0599,0.0,0.0483,0.002,0.5858,0.001,0.2096,0.014,0.133,0.001,0.2878,0.005,0.2964,0.006,0.2381,0.005,0.0945,0.001,0.5864,0.001,2.4507,0.028,horas_sem,-0.0002000800320127727,0.0,0.00940376150460187,0.0,0.005002000800320094,0.0,0.0,0.0,-0.0008003201280512018,0.0,0.00462962962962965,0.0,0.052605113750067156,0.0,6.4124971064644,0.0,0.02612434944084907,0.0,-1.287910887668886,0.0,0.036867878786651764,0.0,0.096653423540349,0.0,0.07092840143150991,0.0,22946.102627756118,0.0,1.2705535042956129e-05,0.0
0.2243,0.002,0.0288,0.001,0.0115,0.001,0.0404,0.0,0.1436,0.001,0.1298,0.007,1.3144,0.014,0.4691,0.041,0.3047,0.005,0.6796,0.031,0.6421,0.038,0.585,0.025,0.2212,0.005,1.3156,0.014,5.5882,0.244,c_antiguedad,0.0,0.0,0.013605442176870763,0.0,0.006602641056422609,0.0,0.0,0.0,-0.0014005602240896309,0.0,0.0023148148148147696,0.0,0.13063513390876225,0.0,1507916.135931645,0.0,0.02752929102231938,0.0,28994485.44250336,0.0,0.01938544149633692,0.0,0.0038048340858638507,0.0,0.057312493473392734,0.0,686969002236.3365,0.0,-0.002536498934286424,0.0
0.0395,5.13e-05,0.0057,0.0,0.0018,9.76e-05,0.0073,1.58e-05,0.0238,7.81e-05,0.0192,0.001,0.2314,0.0,0.0819,0.006,0.053,0.001,0.115,0.002,0.1175,0.002,0.0949,0.002,0.0375,0.001,0.2317,0.0,0.9675,0.011,c_indem,0.0,0.0,0.009003601440576214,0.0,0.00600240096038418,0.0,0.0,0.0,0.0004001600640256564,0.0,0.0,0.0,0.1199101536665067,0.0,3.397398642783462e+16,0.0,0.2997461276037342,0.0,2195417379578383.2,0.0,0.11680450185339153,0.0,0.07437869044240508,0.0,0.17392579367737504,0.0,1.8616642276884598e+17,0.0,13559145.436975207,0.0
0.0499,0.0,0.0066,0.0,0.0022,0.0,0.0091,6.43e-05,0.03,0.0,0.0256,0.002,0.2894,0.002,0.1088,0.008,0.0654,0.001,0.1506,0.005,0.1441,0.008,0.1207,0.005,0.0477,0.001,0.2897,0.002,1.259,0.041,c_prima_antig,0.0,0.0,0.013805522208883536,0.0,0.006802721088435382,0.0,0.0,0.0,-0.0012004801920767472,0.0,0.0,0.0,0.06397572393583628,0.0,9615688.394720338,0.0,0.007798473457211186,0.0,139097501.57354918,0.0,0.18343426775989946,0.0,0.04533402351715887,0.0,0.04508932302452995,0.0,2783731953.508895,0.0,0.007204311213285797,0.0
0.0397,0.001,0.0053,0.0,0.0023,0.0,0.0072,0.0,0.0248,0.001,0.0236,0.003,0.2372,0.007,0.0894,0.014,0.054,0.002,0.1214,0.013,0.1211,0.018,0.1084,0.013,0.0384,0.002,0.2375,0.007,0.9635,0.107,c_rec20,0.0,0.0,0.002601040416166489,0.0,0.004201680672268893,0.0,0.0,0.0,0.0002000800320128837,0.0,0.0023148148148147696,0.0,0.042278907857844494,0.0,17274336107.021828,0.0,0.017734361778916408,0.0,105553613504.2659,0.0,0.01408128349199389,0.0,0.014699322383459945,0.0,0.01685109629873094,0.0,39887017409394.34,0.0,9.46021991410602,0.0
0.0476,0.0,0.0066,0.0,0.0022,0.0,0.0088,4.01e-05,0.0288,0.0,0.0241,0.001,0.2787,0.001,0.1002,0.007,0.064,0.001,0.1396,0.003,0.1378,0.005,0.1146,0.003,0.0449,0.001,0.279,0.001,1.1573,0.026,c_ag,0.0,0.0,0.009003601440576214,0.0,0.009603841536614643,0.0,0.0,0.0,-0.0010004001600639745,0.0,0.0,0.0,0.07287254104486585,0.0,2862945265.268803,0.0,0.013284568212374781,0.0,3405404494.928142,0.0,0.004659894725582148,0.0,0.00943661111169991,0.0,0.047034945085034474,0.0,112237163611.93022,0.0,2.8150037604978513,0.0
0.0497,0.0,0.0068,0.0,0.0023,0.0,0.0091,4.34e-05,0.0303,0.0,0.0256,0.001,0.2908,0.001,0.1047,0.007,0.0666,0.001,0.1474,0.004,0.143,0.005,0.1211,0.003,0.0466,0.001,0.291,0.001,1.2242,0.028,c_vac,0.0,0.0,0.008403361344537785,0.0,0.0076030412164865835,0.0,0.0,0.0,-0.0010004001600639745,0.0,0.0,0.0,0.07918821565900258,0.0,1267463557.57629,0.0,0.007565956666391482,0.0,2768447586.0301347,0.0,0.022326381953866048,0.0,0.014094069603324821,0.0,0.03059154042108425,0.0,105876439106.70155,0.0,1.3527209517367318,0.0
0.0347,0.0,0.005,0.0,0.0017,0.0,0.0064,6.49e-05,0.0211,0.0,0.0178,0.001,0.2041,0.003,0.0709,0.006,0.0466,0.001,0.1019,0.004,0.1006,0.007,0.083,0.004,0.0315,0.001,0.2043,0.003,0.8531,0.036,c_hextra,0.0,0.0,0.004401760704281665,0.0,0.005402160864345751,0.0,0.0002000800320127727,0.0,0.0,0.0,0.0,0.0,0.06560951295501916,0.0,9799335771643.576,0.0,0.008533867895990421,0.0,238550216071354.25,0.0,0.052824928238266344,0.0,0.0028839147098509432,0.0,0.027346222850086366,0.0,1842126945987015.5,0.0,3925.1532098456855,0.0
0.059,0.0,0.0079,0.0,0.0028,0.0,0.0108,6.07e-05,0.0362,0.0,0.031,0.002,0.3459,0.002,0.1266,0.009,0.0792,0.001,0.1763,0.005,0.169,0.006,0.1446,0.004,0.0555,0.001,0.3461,0.002,1.4432,0.038,c_prima_vac,0.0,0.0,0.007402961184473811,0.0,0.007803121248499356,0.0,0.0,0.0,-0.0010004001600639745,0.0,0.0,0.0,0.06245377978706934,0.0,80013950.58503875,0.0,0.013545755758160527,0.0,172365310.2330891,0.0,0.02463321689746023,0.0,0.0072366990683504495,0.0,0.027661373926685218,0.0,9386672390.836918,0.0,0.2407847630003297,0.0
0.045,0.001,0.0066,0.0,0.0027,0.0,0.0082,0.0,0.0273,0.001,0.0256,0.003,0.2637,0.01,0.1036,0.017,0.0614,0.003,0.1396,0.016,0.1283,0.023,0.0983,0.013,0.0424,0.003,0.2638,0.01,1.1435,0.138,c_prima_dom,0.0002000800320128282,0.0,0.003201280512204918,0.0,0.0038015206082433473,0.0,0.0,0.0,-0.0006002400960383181,0.0,0.01157407407407407,0.0,0.022264520044650737,0.0,3016032942.5279675,0.0,0.0027986664192002353,0.0,9869147452.319448,0.0,0.036990503198970015,0.0,0.004577377543761418,0.0,0.009381334385934137,0.0,549019609.3370407,0.0,2.717707162499169,0.0
0.0364,0.001,0.0064,0.0,0.0022,0.0,0.0066,0.0,0.0219,0.001,0.0173,0.003,0.2129,0.009,0.0626,0.014,0.0505,0.002,0.1163,0.012,0.1068,0.022,0.0866,0.013,0.0355,0.003,0.2132,0.009,0.8909,0.114,c_desc_sem,0.0,0.0,0.0076030412164865835,0.0,0.0028011204481792618,0.0,0.0,0.0,0.0006002400960384291,0.0,0.0,0.0,0.017188279878384227,0.0,103034524841.86133,0.0,0.003005394122601701,0.0,658342382175.3402,0.0,6.996604652074668,0.0,0.0077989312637360975,0.0,0.011794256244886503,0.0,16999553373868.057,0.0,41.17873243343328,0.0
0.0441,0.001,0.0067,0.0,0.0025,0.0,0.0081,0.0,0.0265,0.001,0.0234,0.003,0.2588,0.007,0.0887,0.013,0.0581,0.002,0.1291,0.012,0.1262,0.019,0.1014,0.011,0.0428,0.002,0.259,0.007,1.0688,0.1,c_desc_ob,0.0,0.0,0.006202480992396953,0.0,0.005202080832332978,0.0,0.0,0.0,0.0006002400960384291,0.0,0.0092592592592593,0.0,0.01658983741121256,0.0,1215306697.0473802,0.0,0.006735155972170559,0.0,6305243060.488407,0.0,0.08499398179229323,0.0,0.001277154068830999,0.0,0.0318312490630841,0.0,658085853543.6084,0.0,0.49101288872465654,0.0
0.0425,0.002,0.0056,0.001,0.0024,0.0,0.0079,0.0,0.0268,0.001,0.0262,0.004,0.2512,0.011,0.0933,0.023,0.0604,0.003,0.1309,0.023,0.1335,0.033,0.0983,0.027,0.0468,0.004,0.2514,0.011,1.0183,0.194,c_utilidades,0.0,0.0,0.00200080032012806,0.0,0.0018007202881152873,0.0,0.0,0.0,0.0004001600640256564,0.0,0.0023148148148147696,0.0,0.03181025348237232,0.0,34341363.84349538,0.0,0.007246591673640723,0.0,878775973.4731891,0.0,0.09767334721518062,0.0,0.00014811545711757024,0.0,0.005766986423537457,0.0,16000391496073.135,0.0,0.014154091501526356,0.0
0.0446,0.001,0.0067,0.0,0.0021,0.0,0.0082,0.0,0.0261,0.0,0.0206,0.002,0.2625,0.004,0.0853,0.009,0.0599,0.001,0.1274,0.007,0.124,0.012,0.1038,0.008,0.0422,0.001,0.2628,0.004,1.0497,0.06,c_recsueldo,0.0002000800320128282,0.0,0.011204481792717047,0.0,0.006802721088435382,0.0,0.0002000800320127727,0.0,0.0002000800320128837,0.0,0.00694444444444442,0.0,0.0545819950340618,0.0,313649636517.0487,0.0,0.016546698874102983,0.0,1758455607.9857547,0.0,0.2330868714605917,0.0,0.04126771726283096,0.0,0.03951729660965819,0.0,1000427361757.975,0.0,132.71415517546416,0.0
0.0341,6.49e-05,0.0049,0.0,0.0016,8.41e-05,0.0063,1.69e-05,0.0206,6.63e-05,0.0167,0.001,0.1997,0.0,0.0698,0.005,0.0457,0.0,0.0995,0.002,0.0997,0.002,0.0829,0.002,0.032,0.0,0.1999,0.0,0.8331,0.011,c_total,0.0,0.0,0.012204881952781133,0.0,0.006802721088435382,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.00462962962962965,0.0,0.10108754237923356,0.0,9615036002933.346,0.0,0.019113158433756938,0.0,186621583906740.34,0.0,-0.006165090109584992,0.0,0.008602402369123685,0.0,0.10351706821229822,0.0,1459925360275184.2,0.0,3814.5572262827695,0.0
0.0395,4.55e-05,0.0057,0.0,0.0018,9.75e-05,0.0073,1.52e-05,0.0238,7.59e-05,0.0192,0.001,0.2314,0.0,0.0819,0.006,0.053,0.001,0.115,0.002,0.1175,0.002,0.0948,0.002,0.0375,0.001,0.2316,0.0,0.9675,0.011,min_indem,0.0,0.0,0.010804321728691502,0.0,0.0056022408963585235,0.0,0.0,0.0,0.0004001600640256564,0.0,0.0,0.0,0.11502915068041975,0.0,3.9344890967070024e+16,0.0,1.0706628215377239,0.0,2228997933776854.2,0.0,0.11680450185339175,0.0,0.21916470321476422,0.0,0.18572582712726216,0.0,2.1934447906202944e+17,0.0,15714123.723806616,0.0
0.0499,0.0,0.0068,0.0,0.0023,0.0,0.0092,3.16e-05,0.0303,0.0,0.026,0.001,0.29,0.001,0.1075,0.007,0.0664,0.001,0.1508,0.003,0.1455,0.004,0.1222,0.003,0.0479,0.001,0.2903,0.001,1.2466,0.02,min_prima_antig,0.0,0.0,0.015606242496998823,0.0,0.006802721088435382,0.0,0.0,0.0,-0.0022008803521408327,0.0,0.0023148148148147696,0.0,0.10419068767290685,0.0,43192150.44140347,0.0,0.04292459414969452,0.0,666626716.6995,0.0,0.16572174254399863,0.0,0.014252000663735331,0.0,0.050612151182554355,0.0,383534189818.61584,0.0,0.06038158970732277,0.0
0.0562,0.0,0.0079,0.0,0.0026,0.0,0.0104,3.21e-05,0.0339,0.0,0.0278,0.001,0.3285,0.001,0.1175,0.008,0.0753,0.001,0.1653,0.003,0.1672,0.004,0.1367,0.003,0.0531,0.001,0.3288,0.001,1.3896,0.022,min_ag,0.0,0.0,0.01540616246498594,0.0,0.007202881152461038,0.0,0.0002000800320127727,0.0,0.0002000800320128837,0.0,0.0092592592592593,0.0,0.07687640150845687,0.0,190558505.77473724,0.0,0.02451277330458701,0.0,3822033628.3706474,0.0,0.009937279531989085,0.0,0.04372661338530914,0.0,0.07400970862662859,0.0,3782350557511.7993,0.0,0.27956149292400867,0.0
0.0585,0.0,0.0081,0.0,0.0027,0.0,0.0108,3.9e-05,0.0356,0.0,0.0296,0.001,0.3419,0.001,0.1234,0.009,0.0783,0.001,0.172,0.004,0.1709,0.004,0.1438,0.004,0.0548,0.001,0.3422,0.001,1.4605,0.026,min_vac,0.0,0.0,0.00940376150460187,0.0,0.008403361344537785,0.0,0.0,0.0,-0.0006002400960383181,0.0,0.0,0.0,0.08611837101066167,0.0,77900032757.22842,0.0,0.009859263663410944,0.0,51081632500.59693,0.0,0.23913125547286218,0.0,0.0037531276617944753,0.0,0.057761243879488666,0.0,7329381959528.836,0.0,39.72704277092506,0.0
0.0721,0.0,0.01,0.0,0.0034,0.0,0.0133,5.66e-05,0.0441,0.0,0.0367,0.002,0.4223,0.002,0.1512,0.011,0.097,0.001,0.2119,0.005,0.209,0.006,0.1784,0.005,0.0675,0.001,0.4227,0.002,1.7963,0.037,min_prima_vac,0.0,0.0,0.010204081632653073,0.0,0.008603441376550669,0.0,0.0,0.0,-0.0006002400960383181,0.0,0.0,0.0,0.09099638905192309,0.0,78863626226.38293,0.0,0.012190424756721496,0.0,49048211171.733444,0.0,0.23913094912540034,0.0,0.009470779461078105,0.0,0.05842787056584409,0.0,6970951408683.488,0.0,22.51452162201481,0.0
0.0385,5.27e-05,0.0056,0.0,0.0018,9.47e-05,0.0071,1.62e-05,0.0232,7.41e-05,0.0188,0.001,0.2253,0.0,0.08,0.005,0.0516,0.001,0.1125,0.002,0.1145,0.002,0.0927,0.002,0.0366,0.001,0.2255,0.0,0.9456,0.01,min_ley,0.0,0.0,0.012805122048819562,0.0,0.006602641056422609,0.0,0.0,0.0,0.0,0.0,0.0023148148148147696,0.0,0.12086231450107132,0.0,2218264755088.8853,0.0,0.2405730678754704,0.0,130185721427.62778,0.0,0.07074790446350121,0.0,0.1281244532724527,0.0,0.12002970923680656,0.0,19087891513895.54,0.0,838.6911367134862,0.0
0.0341,3.93e-05,0.0056,0.0,0.0017,9.49e-05,0.0063,1.46e-05,0.0205,7.35e-05,0.0153,0.001,0.2005,0.0,0.0653,0.005,0.0444,0.001,0.097,0.001,0.0991,0.002,0.0825,0.002,0.0322,0.001,0.2007,0.0,0.8109,0.009,c_sal_caidos,0.0002000800320128282,0.0,0.03201280512204885,0.0,0.009803921568627416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12977158230175945,0.0,6000.9766880553625,0.0,5.838872650362119,0.0,1938.5753184680664,0.0,1.9334498583142903,0.0,1.8059550082577243,0.0,1.7756816355867824,0.0,58133708480.73649,0.0,-8.339949438829208e-05,0.0
0.8478,0.01,0.118,0.005,0.0405,0.003,0.1577,0.002,0.5187,0.006,0.4433,0.031,5.0059,0.073,1.7647,0.169,1.136,0.023,2.4644,0.128,2.448,0.212,2.0103,0.104,0.7463,0.025,5.0109,0.073,21.2683,1.054,prop_hextra,0.0,0.0,0.008403361344537785,0.0,0.005802320928371296,0.0,0.0,0.0,0.0002000800320128837,0.0,0.0023148148148147696,0.0,0.05118678790463682,0.0,500394677233.2706,0.0,0.019788734676908115,0.0,4616228994203.424,0.0,0.32009039745512535,0.0,0.013932499577560598,0.0,0.07133411216470864,0.0,1580113869386.1904,0.0,201.2086448693785,0.0
