"d.desiste.df.t.tipo_de_abogado","d.desiste.df.t.trab_base","d.desiste.df.t.sueldo_diario_integrado","d.desiste.df.t.gen","d.desiste.df.t.horas","d.desiste.df.t.reinstalacion_t","d.desiste.df.t.indem_const_t","d.desiste.df.t.rec_hr_extra","d.desiste.df.t.rec_20_d_ias_t","d.desiste.df.t.sarimssinfo","d.desiste.df.t.cod_imss","d.desiste.df.t.antig_anos","d.desiste.df.t.y","d.desiste.df.t.id"
"0","1",4550,"0",84,"0","1","1","0","1","1",14.8547945205479,1.54520547945205,5
"0","0",600,"0",36,"0","1","0","0","0","1",2.24109589041096,1.67945205479452,7
"0","0",220,"0",42,"1","1","0","1","1","1",4.25479452054795,0.298630136986301,31
"0","0",600,"1",55,"0","1","1","0","1","1",0.449315068493151,0.553424657534247,35
"0","0",242.86,"0",70,"0","1","1","0","1","1",1.83835616438356,1.72054794520548,41
"0","0",200,"0",55,"0","1","1","0","0","1",1.0986301369863,0.457534246575342,43
"0","0",240,"0",72,"1","1","1","1","0","1",2.18082191780822,0.70958904109589,50
"0","0",142.65,"0",105,"0","1","0","0","1","1",0.482191780821918,0.942465753424658,64
"0","0",214.29,"0",70,"0","1","1","0","0","1",1.84109589041096,0.873972602739726,66
"1","0",247.27,"0",65,"0","1","0","0","0","1",9.46849315068493,0.158904109589041,74
"1","0",245.35,"1",50,"0","1","1","0","0","1",0.964383561643836,1.6027397260274,77
"0","0",500,"1",60,"0","1","1","0","1","1",0.931506849315068,0.391780821917808,78
"1","0",125.42,"1",41,"0","1","0","0","0","1",0.953424657534247,1.01369863013699,81
"0","0",60.06,"0",72,"0","1","1","0","1","1",1.76438356164384,1.28219178082192,89
"0","1",950,"0",66,"0","1","1","0","1","1",6.92602739726027,0.205479452054795,91
"0","0",666.67,"0",42,"1","1","0","1","1","1",0.432876712328767,0.23013698630137,92
"0","0",333.33,"0",42,"1","1","0","1","1","1",0.432876712328767,0.208219178082192,93
"0","1",500,"0",42,"1","1","0","1","1","1",0.432876712328767,0.189041095890411,94
"0","0",282,"0",54,"1","1","0","1","0","1",12.5753424657534,0.493150684931507,97
"0","1",11284.789,"1",35,"1","1","0","1","1","1",11.7479452054795,0.271232876712329,100
"0","0",150,"1",60,"0","1","1","0","1","1",0.126027397260274,0.268493150684932,107
"1","0",69.05,"0",60,"0","1","0","0","0","1",0.468493150684932,0.282191780821918,115
"0","1",233.333333333333,"1",72,"0","1","1","0","0","1",8.46301369863014,0.550684931506849,122
"0","0",300,"0",66,"0","1","1","0","1","1",18.9479452054795,2.20547945205479,131
"0","0",200,"0",54,"0","1","1","0","0","1",19.3041095890411,0.263013698630137,135
"0","0",259.51,"0",66,"0","1","1","0","0","1",0.901369863013699,0.632876712328767,137
"0","0",261.9,"0",50,"1","1","1","0","1","1",2.16712328767123,0.643835616438356,141
"0","0",376.701904761905,"0",66,"1","0","1","0","0","1",9.16712328767123,2.06849315068493,142
"0","0",283.333333333333,"0",60,"0","1","1","0","0","1",3.15342465753425,0.594520547945205,146
"1","0",89.01,"0",48,"0","1","0","0","0","1",1.39178082191781,0.605479452054794,155
"0","0",1508,"1",66,"1","0","1","0","1","1",2.34794520547945,2.21369863013699,156
"0","0",460,"0",77,"0","1","0","0","0","1",5.76438356164384,1.12328767123288,182
"1","0",121.16,"0",70,"0","1","0","0","0","1",41.1095890410959,0.865753424657534,188
"0","0",583.33,"1",52.5,"1","1","0","1","1","1",1.03287671232877,2.12876712328767,197
"0","0",285.714285714286,"0",66,"0","1","1","0","1","1",14.2602739726027,1.21369863013699,199
"0","0",166.666666666667,"0",72,"0","1","1","0","0","1",0.520547945205479,1.44931506849315,200
"1","0",367.73,"0",96,"0","1","1","0","0","1",7.03561643835616,1.14246575342466,214
"0","0",224,"1",54,"0","1","1","1","1","1",0.643835616438356,1.04657534246575,221
"0","0",213.33,"0",66,"0","1","1","0","1","1",1.90684931506849,2.31780821917808,228
"0","0",200,"0",55,"0","1","0","0","1","0",0.150684931506849,0.671232876712329,247
"0","0",214.285714285714,"0",66,"0","1","1","0","1","0",1.44657534246575,0.306849315068493,254
"0","0",300,"0",75,"1","1","1","1","1","0",6.93150684931507,0.134246575342466,255
"0","0",500,"0",60,"0","1","1","0","1","0",1.18630136986301,1.23013698630137,257
"0","0",666.666666666667,"1",72,"0","1","1","0","0","0",2.55890410958904,0.791780821917808,259
"0","0",211.71,"0",72,"0","1","1","1","1","0",0.846575342465753,0.101369863013699,260
"0","0",2131.7,"0",66,"1","0","1","0","1","0",4.3972602739726,0.805479452054795,262
"0","0",166.666666666667,"1",51,"0","1","0","0","1","0",0.235616438356164,0.898630136986301,264
"0","0",116.66,"1",45,"0","1","1","0","0","0",1.31506849315068,0.0438356164383562,265
"0","0",666.66,"0",60,"0","1","0","0","1","0",0.336986301369863,0.178082191780822,266
"0","0",300,"1",75,"0","1","1","0","0","0",4.50684931506849,0.273972602739726,270
"0","0",183.333333333333,"0",58,"0","1","1","0","0","0",1.44931506849315,1.6986301369863,272
"0","0",833.333333333333,"1",72,"1","1","1","1","0","0",1.49315068493151,0.117808219178082,273
"0","0",708.34,"1",42,"1","1","0","1","0","0",6.58082191780822,0.408219178082192,275
"1","0",62.75,"1",24,"0","1","0","0","0","0",0.876712328767123,0.0520547945205479,284
"0","0",266.666666666667,"0",72,"0","1","1","0","1","0",3.72602739726027,0.117808219178082,287
"0","0",1416.66,"0",60,"1","1","1","1","1","0",19.5178082191781,1.04931506849315,292
"0","0",142.857142857143,"0",69,"0","1","1","0","1","0",2.46575342465753,0.134246575342466,294
"0","0",933.333333333333,"0",45,"0","1","1","0","0","0",0.917808219178082,0.0383561643835616,295
"0","0",395.03,"1",66,"0","1","1","0","1","0",0.471232876712329,0.435616438356164,298
"0","0",348.91,"0",47.5,"1","0","1","0","0","0",0.767123287671233,1.26027397260274,299
"0","0",438.571428571429,"0",60,"0","1","0","0","0","0",7.11232876712329,1.07945205479452,304
"0","0",300,"0",48,"0","1","0","0","0","0",2.75890410958904,0.583561643835616,309
"0","0",2999.99,"0",60,"0","1","1","0","1","0",1.22191780821918,0.780821917808219,316
"1","0",156.78,"0",54,"0","1","0","0","0","0",0.679452054794521,0.780821917808219,330
"0","0",700,"0",66,"0","1","0","0","1","0",6.52328767123288,0.0273972602739726,337
"0","0",216.666666666667,"1",45,"0","1","1","0","0","0",0.673972602739726,0.183561643835616,339
"0","0",314.285714285714,"0",60,"0","1","1","0","0","0",17.0191780821918,0.315068493150685,340
"0","0",86.66,"1",46,"1","1","1","1","0","0",1.57534246575342,0.158904109589041,350
"0","0",600,"0",54,"0","1","0","0","0","0",3.21917808219178,0.506849315068493,352
"0","0",250,"0",69,"0","1","1","0","0","0",2.30684931506849,0.463013698630137,354
"0","0",233.333333333333,"1",55,"0","1","1","0","0","0",0.523287671232877,1.32602739726027,358
"0","0",322.357142857143,"1",60,"1","1","1","1","0","0",0.471232876712329,0.416438356164384,359
"0","0",333.33,"0",54,"0","1","1","0","1","0",0.378082191780822,2.54246575342466,365
"0","0",350.33,"1",77.5,"0","1","0","0","1","0",4.48219178082192,0.0191780821917808,366
"1","0",133.42,"0",54,"0","1","0","0","0","0",5.50958904109589,1.53424657534247,377
"0","1",173.333333333333,"0",52,"0","1","0","0","0","0",0.6,1.5041095890411,381
"0","0",400,"0",50,"0","1","1","0","1","0",4.61643835616438,0.717808219178082,387
"0","0",200,"0",57,"0","1","1","0","0","0",3.80821917808219,0.0136986301369863,392
"0","0",666.666666666667,"1",60,"1","1","1","1","0","0",8.85205479452055,0.136986301369863,403
"1","0",121.45,"0",42.5,"0","1","0","0","0","0",0.347945205479452,0.457534246575342,414
"0","0",171.428571428571,"0",50,"0","1","0","0","1","0",4.77260273972603,1.00547945205479,416
"1","0",134.55,"1",55,"0","1","0","0","0","0",1.52876712328767,0.572602739726027,420
"0","0",367.333333333333,"0",66,"0","1","1","1","0","0",0.750684931506849,0.0191780821917808,429
"0","0",383.333333333333,"1",60,"0","1","1","0","0","0",1.34794520547945,1.17534246575342,436
"0","0",195.478,"0",60,"1","0","0","1","0","0",3.62465753424658,0.501369863013699,438
"0","0",201.42,"0",54,"0","1","0","0","1","0",11.9397260273973,0.16986301369863,450
"1","0",156.98,"0",63,"1","1","0","0","0","0",1.63561643835616,0.142465753424658,455
"1","0",156.77,"0",56,"0","1","0","0","1","0",0.249315068493151,0.134246575342466,456
"0","0",100,"1",42.5,"0","1","0","0","0","0",2.43287671232877,0.326027397260274,463
"0","0",160,"1",60,"0","1","1","0","0","0",1.48767123287671,0.178082191780822,465
"0","0",491,"1",44,"1","0","0","0","1","0",8.07123287671233,2.43013698630137,471
"0","0",600,"0",60,"1","0","1","0","1","0",6.61095890410959,1.12328767123288,476
"0","1",558.54,"0",60,"0","1","1","0","1","0",2.33150684931507,1.19178082191781,480
"0","0",357.142857142857,"0",60,"0","1","1","0","0","0",3.11506849315069,1.41917808219178,488
"0","0",666.666666666667,"0",84,"0","1","1","0","1","0",26.958904109589,1.82191780821918,492
"0","0",1977,"0",60,"0","1","1","1","1","0",5.54246575342466,0.923287671232877,499
"1","0",209.04,"0",57,"0","1","1","0","0","0",0.257534246575342,0.180821917808219,505
"0","0",333.333333333333,"0",72,"0","1","0","0","0","0",3.74246575342466,0.254794520547945,507
"0","0",103.56,"1",25,"0","1","0","0","1","0",4.45205479452055,0.747945205479452,508
"0","0",433.333333333333,"1",72,"0","1","1","0","0","0",1.66027397260274,1.03561643835616,510
"1","0",174.29,"1",40,"0","1","0","0","0","0",0.6,1.44657534246575,512
"0","0",90,"0",84,"0","1","1","0","1","0",1.28493150684932,1.91506849315068,513
"0","0",180,"1",60,"0","1","1","0","1","0",2.67123287671233,0.246575342465753,514
"0","0",500,"0",72,"0","1","1","0","0","0",0.0301369863013699,0.0164383561643836,531
"0","0",100,"0",60,"0","1","1","0","0","0",0.213698630136986,0.375342465753425,535
"0","0",440,"0",96,"1","1","1","1","1","0",15.6246575342466,0.747945205479452,538
"1","1",2091.66,"1",47.5,"0","1","0","0","0","0",0.947945205479452,0.128767123287671,549
"1","0",156.98,"1",45,"0","1","0","0","0","0",1.27397260273973,0.665753424657534,554
"0","0",263.333,"1",51,"0","1","1","0","1","0",0.989041095890411,0.613698630136986,555
"1","0",129.74,"1",42,"0","1","0","0","0","0",0.920547945205479,0.53972602739726,565
"0","0",144.77,"0",66,"0","1","0","0","0","0",17.3753424657534,1.46027397260274,566
"1","0",277.76,"0",84,"0","1","0","0","0","0",5.96986301369863,0.010958904109589,569
"0","0",746.52,"0",70,"1","1","1","1","1","0",2.00821917808219,1.55068493150685,573
"0","0",434.29,"0",66,"1","1","1","1","0","0",1.17534246575342,0.46027397260274,575
"0","0",326.66,"1",60,"0","1","1","0","1","0",0.33972602739726,2.05479452054795,583
"1","0",209.04,"0",35,"0","1","0","0","0","0",0.010958904109589,0.561643835616438,594
"1","0",149.3,"0",57,"0","1","0","0","0","0",3.74794520547945,0.854794520547945,596
"0","0",194,"1",48,"0","1","0","0","0","0",6.81917808219178,0.947945205479452,600
"1","0",98.75,"1",54,"0","1","0","0","0","0",5.46027397260274,0.161643835616438,605
"0","0",2200,"0",66,"1","0","1","0","1","0",0.972602739726027,0.635616438356164,614
"1","0",156.77,"0",66,"0","1","0","0","0","0",3.91232876712329,0.23013698630137,616
"0","0",833.33,"1",60,"0","1","0","0","0","0",3.6986301369863,0.402739726027397,617
"0","0",153.333333333333,"0",59,"0","1","0","0","0","0",1.32876712328767,0.238356164383562,618
"0","0",233.33,"0",54,"0","1","0","1","0","0",0.901369863013699,0.249315068493151,619
"0","0",350,"0",62,"0","1","1","0","1","0",0.791780821917808,0.0438356164383562,621
"0","0",302.27,"0",60,"1","0","0","0","0","0",4.2986301369863,0.153424657534247,633
"1","0",173.5,"0",60,"0","1","0","0","0","0",0.0794520547945206,0.16986301369863,636
"0","0",714.28,"0",60,"0","1","1","0","1","0",1.55616438356164,0.153424657534247,638
"0","0",174.19,"0",60,"0","1","1","0","1","0",0.254794520547945,1.68767123287671,640
"0","1",1086.66,"0",39,"1","0","0","0","0","0",0.405479452054795,0.241095890410959,642
"0","0",366.66,"1",72,"1","0","1","0","0","0",2.6027397260274,0.706849315068493,645
"0","0",283.33,"0",84,"0","1","1","0","0","0",1.35342465753425,0.764383561643836,647
"0","0",200,"0",62.5,"0","1","1","0","1","0",2.21917808219178,0.402739726027397,668
"0","0",2499.47,"0",55,"1","1","1","1","1","0",1.6,1.11780821917808,671
"1","0",114.97,"0",49,"0","1","0","0","0","0",0.0986301369863014,0.183561643835616,685
"1","0",162.58,"0",47,"0","1","0","0","0","0",0.449315068493151,1.08767123287671,687
"1","0",268.76,"0",54,"0","1","0","0","0","0",4.97260273972603,0.205479452054795,691
"0","0",375,"1",54,"0","1","0","0","1","0",1.74794520547945,0.8,694
"0","0",200,"0",98,"0","1","1","1","0","0",1.05205479452055,1.06301369863014,695
"1","0",140,"0",56,"0","1","1","0","0","0",0.23013698630137,1.63561643835616,697
"0","0",200,"0",69,"0","1","0","0","0","0",12.6575342465753,0.50958904109589,708
"0","0",1071.42,"0",60,"1","1","1","1","1","0",5.41095890410959,0.520547945205479,710
"0","0",166.66,"1",30,"0","1","0","0","0","0",0.553424657534247,0.175342465753425,712
"0","0",141.54,"1",45,"0","1","1","0","1","0",0.704109589041096,0.0356164383561644,713
"0","1",2444.43,"0",77,"1","0","1","0","1","0",1.4986301369863,0.827397260273973,714
"0","0",522.59,"0",90,"0","1","1","0","0","0",0.926027397260274,0.69041095890411,716
"0","0",357.14,"1",84,"0","1","1","0","0","0",0.997260273972603,0.30958904109589,725
"0","0",1418.08,"0",60,"0","1","1","0","1","0",1.24931506849315,0.246575342465753,730
"0","0",1066.66,"0",66,"0","1","1","0","0","0",2.74794520547945,0.515068493150685,735
"0","0",185.71,"0",70,"1","0","0","0","0","0",1.21369863013699,0.36986301369863,744
"1","0",261.98,"0",60,"0","1","0","0","0","0",2.11506849315069,0.172602739726027,747
"0","0",200,"1",59,"0","1","1","0","1","0",0.0273972602739726,0.282191780821918,750
"1","0",159.01,"1",54,"0","1","0","0","0","0",0.164383561643836,0.153424657534247,751
"0","0",82.9,"1",50,"1","1","1","0","0","0",0.821917808219178,0.150684931506849,759
"1","0",186.63,"1",51,"0","1","1","0","0","0",0.53972602739726,0.56986301369863,774
"0","0",357.14,"1",69,"0","1","1","0","1","0",3.02739726027397,0.832876712328767,799
"0","0",114.97,"0",35,"0","1","0","0","0","0",0.463013698630137,2.11506849315069,805
"0","0",466.666666666667,"1",50,"0","1","1","1","1","0",3.48493150684931,0.336986301369863,817
"0","0",666.66,"1",60,"0","1","1","1","1","0",1.71506849315068,1.14246575342466,818
"0","0",1372.94,"1",63,"1","1","1","1","1","0",7.78082191780822,0.123287671232877,823
"0","0",164.796666666667,"0",54,"0","1","1","0","0","0",1.06849315068493,0.0876712328767123,829
"0","1",2333.33,"0",60,"0","1","0","0","1","0",0.712328767123288,0.10958904109589,832
"0","0",547,"0",75,"1","0","1","0","1","0",17.4684931506849,0.0273972602739726,834
"0","0",133.333333333333,"1",60,"0","1","1","1","1","0",0.252054794520548,0.517808219178082,840
"0","0",907.89,"1",78,"1","1","1","1","0","0",2.12602739726027,1.07123287671233,842
"0","0",314.285714285714,"0",65,"1","1","1","1","1","0",4.16438356164384,2.45753424657534,846
"0","0",185.71,"0",50,"0","1","0","1","1","0",1.52602739726027,0.0301369863013699,850
"0","0",400,"0",69,"0","1","1","0","0","0",4.93972602739726,0.512328767123288,851
"0","0",300,"0",60,"0","1","1","0","1","0",0.293150684931507,2.45479452054795,867
"0","0",326,"1",54,"0","1","1","0","0","0",0.89041095890411,0.545205479452055,872
"0","0",171.42,"0",112,"0","1","1","0","1","0",0.158904109589041,1.02465753424658,878
"1","0",125.42,"0",54,"0","1","0","0","0","0",1.3041095890411,0.758904109589041,880
"0","0",500,"0",60,"0","1","1","0","1","0",8.55342465753425,0.671232876712329,886
"0","0",370,"0",72,"0","1","1","0","1","0",17.0328767123288,0.786301369863014,887
"0","1",500,"0",56,"0","1","0","0","1","0",5.71506849315069,0.742465753424657,890
"0","0",266.666666666667,"0",50,"1","0","1","0","0","0",4.21095890410959,0.238356164383562,895
"0","1",1166.72,"0",63,"0","1","1","0","0","0",14.0849315068493,1.2027397260274,901
"0","1",214.28,"1",54,"0","1","1","0","1","0",0.402739726027397,0.608219178082192,904
"0","0",127,"1",45,"0","1","1","0","1","0",4.0027397260274,1.28767123287671,912
"0","0",512.908571428571,"1",72,"1","1","1","1","0","0",2.04931506849315,1.41095890410959,917
"0","0",479.066666666667,"0",54,"0","1","1","0","1","0",23.3753424657534,0.824657534246575,918
"0","0",214.285714285714,"0",72,"0","1","0","0","1","0",1.47945205479452,0.786301369863014,925
"0","0",374,"1",63,"1","1","1","1","1","0",4.68493150684932,0.997260273972603,928
"0","0",200,"0",66,"0","1","1","0","1","0",0.298630136986301,0.668493150684932,937
"0","1",791.64,"0",91,"0","1","1","0","1","0",0.336986301369863,0.435616438356164,945
"0","1",180,"1",40,"0","1","0","0","1","0",6.95616438356164,2.09041095890411,946
"1","0",223.09,"0",70,"0","1","0","0","0","0",6.78082191780822,1.54246575342466,949
"0","0",194.861,"0",40,"1","0","1","0","1","0",0.386301369863014,0.336986301369863,956
"1","0",229.94,"1",48,"0","1","0","0","1","0",0.728767123287671,0.857534246575342,969
"0","0",285.71,"1",50,"0","1","1","1","0","0",0.657534246575342,1.65753424657534,975
"0","0",379.23,"0",77,"0","1","1","0","0","0",9.57808219178082,1.57808219178082,977
"0","0",171.42,"0",72,"1","0","1","0","1","0",6.94246575342466,0.328767123287671,981
"0","0",135.31,"1",45,"0","1","1","0","1","0",3.26027397260274,0.375342465753425,987
"0","0",238.69,"0",60,"1","1","0","1","1","0",0.33972602739726,1.07945205479452,988
"0","0",361.904761904762,"1",66,"0","1","1","1","1","0",2.25205479452055,2.38356164383562,990
"0","0",150,"0",55,"0","1","1","0","1","0",0.389041095890411,0.224657534246575,993
"0","0",300,"0",49,"0","1","1","0","0","0",22.9945205479452,0.482191780821918,1004
"0","0",400,"0",72,"0","1","1","0","0","0",0.917808219178082,0.605479452054794,1007
"0","0",107.14,"0",48,"0","1","0","0","0","0",11.0602739726027,0.33972602739726,1009
"0","0",1249.16,"0",54,"0","1","1","0","1","0",4.91232876712329,0.0164383561643836,1011
"0","0",228.57,"1",54,"0","1","0","0","0","0",1.81369863013699,0.8,1019
"0","0",500,"0",60,"1","1","1","1","1","0",2.96438356164384,0.901369863013699,1020
"0","0",633.33,"0",48,"0","1","0","0","1","0",0.112328767123288,1.99178082191781,1031
"0","0",27518,"0",78,"1","1","1","0","1","0",21.4,0.221917808219178,1046
"0","0",133.333333333333,"1",54,"0","1","1","0","0","0",1.12602739726027,0.873972602739726,1055
"0","0",862.13,"1",62,"0","1","1","0","1","0",0.0876712328767123,0.482191780821918,1056
"0","0",400,"1",48,"1","1","1","0","1","0",6.26301369863014,0.0958904109589041,1064
"1","0",400,"0",168,"1","0","1","0","0","0",4.5972602739726,0.917808219178082,1068
"0","0",133.333333333333,"0",54,"0","1","0","1","0","0",0.69041095890411,1.60547945205479,1069
"0","0",450,"1",69,"0","1","1","0","1","0",1.95890410958904,0.619178082191781,1077
"0","0",180,"1",48,"0","1","1","1","1","0",0.178082191780822,0.786301369863014,1078
"0","0",902,"1",55,"0","1","1","0","1","0",0.783561643835616,0.646575342465753,1085
"0","1",800,"0",66,"1","1","1","1","0","0",1.55890410958904,0.572602739726027,1093
"0","0",316.66,"0",60,"0","1","1","0","1","0",2.63835616438356,0.115068493150685,1099
"0","1",176.91,"1",54,"1","0","1","0","1","0",0.224657534246575,0.728767123287671,1106
"0","0",700,"0",57,"1","1","1","1","1","0",1.51780821917808,0.421917808219178,1109
"0","0",193.333333333333,"0",66,"0","1","1","0","1","0",0.241095890410959,0.0328767123287671,1115
"0","0",700,"0",66,"0","1","1","0","1","0",0.545205479452055,0.824657534246575,1117
"0","0",250,"1",50,"0","1","0","0","1","0",10.5616438356164,0.772602739726027,1120
"0","0",833.333333333333,"1",60,"0","1","1","0","1","0",2.29041095890411,1.16712328767123,1125
"0","0",500,"0",60,"0","1","1","0","1","0",4.73424657534247,0.164383561643836,1127
"0","1",500,"0",45,"0","1","1","0","1","0",4.85753424657534,0.794520547945205,1129
