"estandarizados_duracion_desiste.id","estandarizados_duracion_desiste.antig_anos","estandarizados_duracion_desiste.horas","estandarizados_duracion_desiste.sueldo_diario_integrado","estandarizados_duracion_desiste.tipo_de_abogado","estandarizados_duracion_desiste.trab_base","estandarizados_duracion_desiste.gen","estandarizados_duracion_desiste.reinstalacion_t","estandarizados_duracion_desiste.indem_const_t","estandarizados_duracion_desiste.rec_hr_extra","estandarizados_duracion_desiste.rec_20_d_ias_t","estandarizados_duracion_desiste.sarimssinfo","estandarizados_duracion_desiste.cod_imss","estandarizados_duracion_desiste.y"
5,1.92166958295867,1.62834900132625,1.99967712597402,"0","1","0","0","1","1","0","1","1",1.54520547945205
7,-0.364130231491814,-1.63029372083275,-0.0193485410625799,"0","0","0","0","1","0","0","0","1",1.67945205479452
31,0.000783509520589187,-1.22296338056287,-0.213583921688886,"0","0","0","1","1","0","1","1","1",0.298630136986301
35,-0.68882898880081,-0.340414309978144,-0.0193485410625799,"0","0","1","0","1","1","0","1","1",0.553424657534247
41,-0.437112979694295,0.677911540696544,-0.201899130106998,"0","0","0","0","1","1","0","1","1",1.72054794520548
43,-0.571162925372321,-0.340414309978144,-0.223806836458691,"0","0","0","0","1","1","0","0","1",0.457534246575342
50,-0.375052819658172,0.813688320786502,-0.20336100691908,"0","0","0","1","1","1","1","0","1",0.70958904109589
64,-0.682871213437342,3.05400519227082,-0.253121044561109,"0","0","0","0","1","0","0","1","1",0.942465753424658
66,-0.436616498414006,0.677911540696544,-0.216502563855665,"0","0","0","0","1","1","0","0","1",0.873972602739726
74,0.945587385910526,0.338469590471648,-0.199644977400256,"1","0","0","0","1","0","0","0","1",0.158904109589041
77,-0.595490508106481,-0.67985626020304,-0.200626377218157,"1","0","1","0","1","1","0","0","1",1.6027397260274
78,-0.601448283469949,-0.00097235975324824,-0.0704631149116078,"0","0","1","0","1","1","0","1","1",0.391780821917808
81,-0.597476433227637,-1.29085177060785,-0.261928085635297,"1","0","1","0","1","0","0","0","1",1.01369863013699
89,-0.450517974262098,0.813688320786502,-0.295336571103021,"0","0","0","0","1","1","0","1","1",1.28219178082192
91,0.484852757802349,0.406357980516627,0.159552467409018,"0","1","0","0","1","1","0","1","1",0.205479452054795
92,-0.691807876482544,-1.22296338056287,0.014729545322567,"0","0","0","1","1","0","1","1","1",0.23013698630137
93,-0.691807876482544,-1.22296338056287,-0.155655775145783,"0","0","0","1","1","0","1","1","1",0.208219178082192
94,-0.691807876482544,-1.22296338056287,-0.0704631149116078,"0","1","0","1","1","0","1","1","1",0.189041095890411
97,1.50859715775823,-0.408302700023124,-0.181892885902489,"0","0","0","1","1","0","1","0","1",0.493150684931507
100,1.35865981111096,-1.69818211087773,5.44213582295523,"0","1","1","1","1","0","1","1","1",0.271232876712329
107,-0.74741377987491,-0.00097235975324824,-0.249364123383205,"0","0","1","0","1","1","0","1","1",0.268493150684932
115,-0.685353619838787,-0.00097235975324824,-0.290741370913994,"1","0","0","0","1","0","0","0","1",0.282191780821918
122,0.763378756044469,0.813688320786502,-0.206768645175682,"0","1","1","0","1","1","0","0","1",0.550684931506849
131,2.66341261571041,0.406357980516627,-0.172692262609664,"0","0","0","0","1","1","0","1","1",2.20547945205479
135,2.72795518214798,-0.408302700023124,-0.223806836458691,"0","0","0","0","1","1","0","0","1",0.263013698630137
137,-0.606909577553128,0.406357980516627,-0.193388553561135,"0","0","0","0","1","1","0","0","1",0.632876712328767
141,-0.377535226059617,-0.67985626020304,-0.192166915246143,"0","0","0","1","1","1","0","1","1",0.643835616438356
142,0.890974445078738,0.406357980516627,-0.133486410856529,"0","0","0","1","0","1","0","0","1",2.06849315068493
146,-0.198801965155583,-0.00097235975324824,-0.181211358251168,"0","0","0","0","1","1","0","0","1",0.594520547945205
155,-0.5180394283814,-0.815633040292999,-0.280538901973728,"1","0","0","0","1","0","0","0","1",0.605479452054794
156,-0.344767461560544,0.406357980516627,0.444771789486593,"0","0","1","1","0","1","0","1","1",2.21369863013699
182,0.27434469495982,1.1531302710114,-0.090908944451219,"0","0","0","0","1","0","0","0","1",1.12328767123288
188,6.67944969196801,0.677911540696544,-0.264105566481265,"1","0","0","0","1","0","0","0","1",0.865753424657534
197,-0.583078476099256,-0.510135285090592,-0.0278693405232128,"0","0","1","1","1","0","1","1","1",2.12876712328767
199,1.81393314513596,0.406357980516627,-0.179994344588096,"0","0","0","0","1","1","0","1","1",1.21369863013699
200,-0.675920475513297,0.813688320786502,-0.240845027741701,"0","0","0","0","1","1","0","0","1",1.44931506849315
214,0.504712009013908,2.443009681866,-0.138072361741717,"1","0","0","0","1","1","0","0","1",1.14246575342466
221,-0.653578817900292,-0.408302700023124,-0.211539338734925,"0","0","1","0","1","1","1","1","1",1.04657534246575
228,-0.42470094768707,0.406357980516627,-0.216993263764616,"0","0","0","0","1","1","0","1","1",2.31780821917808
247,-0.742945448352309,-0.340414309978144,-0.223806836458691,"0","0","0","0","1","0","0","1","0",0.671232876712329
254,-0.50810980277562,0.406357980516627,-0.216504754480259,"0","0","0","0","1","1","0","1","0",0.306849315068493
255,0.485845720362927,1.01735349092144,-0.172692262609664,"0","0","0","1","1","1","1","1","0",0.134246575342466
257,-0.555275524403073,-0.00097235975324824,-0.0704631149116078,"0","0","0","0","1","1","0","1","0",1.23013698630137
259,-0.306538402978292,0.813688320786502,0.0147278415034387,"0","0","1","0","1","1","0","0","0",0.791780821917808
260,-0.616839203158908,0.813688320786502,-0.21782131986097,"0","0","0","0","1","1","1","1","0",0.101369863013699
262,0.0266005360956163,0.406357980516627,0.76357338658298,"0","0","0","1","0","1","0","1","0",0.805479452054795
264,-0.727554528663351,-0.611967870158061,-0.240845027741701,"0","0","1","0","1","0","0","1","0",0.898630136986301
265,-0.531940904229491,-1.01929821042794,-0.266405722304471,"0","0","1","0","1","1","0","0","0",0.0438356164383562
266,-0.709184721292659,-0.00097235975324824,0.0147244338651821,"0","0","0","0","1","0","0","1","0",0.178082191780822
270,0.0464597873071756,1.01735349092144,-0.172692262609664,"0","0","1","0","1","1","0","0","0",0.273972602739726
272,-0.507613321495331,-0.136749139843207,-0.232325932100196,"0","0","0","0","1","1","0","0","0",1.6986301369863
273,-0.499669621010707,0.813688320786502,0.0999187979184852,"0","0","1","1","1","1","1","0","0",0.117808219178082
275,0.422296116485937,-1.22296338056287,0.0360289882454569,"0","0","1","1","1","0","1","0","0",0.408219178082192
284,-0.611377909075729,-2.4449544013725,-0.293961589066482,"1","0","1","0","1","0","0","0","0",0.0520547945205479
287,-0.0950373775751849,0.813688320786502,-0.189730453892673,"0","0","0","0","1","1","0","1","0",0.117808219178082
292,2.76668072201052,-0.00097235975324824,0.398083737732891,"0","0","0","1","1","1","1","1","0",1.04931506849315
294,-0.323418766508118,0.610023150651565,-0.253015164372422,"0","0","0","0","1","1","0","1","0",0.134246575342466
295,-0.603930689871394,-1.01929821042794,0.151033371767513,"0","0","0","0","1","1","0","0","0",0.0383561643835616
298,-0.684857138558498,0.406357980516627,-0.124118083080932,"0","0","1","0","1","1","0","1","0",0.435616438356164
299,-0.631237160287288,-0.849577235315488,-0.147692124540104,"0","0","0","1","0","1","0","0","0",1.26027397260274
304,0.518613484862,-0.00097235975324824,-0.101862067418868,"0","0","0","0","1","0","0","0","0",1.07945205479452
309,-0.270295269517196,-0.815633040292999,-0.172692262609664,"0","0","0","0","1","0","0","0","0",0.583561643835616
316,-0.548821267759317,-0.00097235975324824,1.2073961198567,"0","0","0","0","1","1","0","1","0",0.780821917808219
330,-0.647124561256536,-0.408302700023124,-0.245898555276241,"1","0","0","0","1","0","0","0","0",0.780821917808219
337,0.411870009599868,0.406357980516627,0.031766032786448,"0","0","0","0","1","0","0","1","0",0.0273972602739726
339,-0.648117523817113,-1.01929821042794,-0.215287740817187,"0","0","1","0","1","1","0","0","0",0.183561643835616
340,2.31388979438697,-0.00097235975324824,-0.165390180631231,"0","0","0","0","1","1","0","0","0",0.315068493150685
350,-0.484775182602038,-0.951409820382957,-0.28174009445918,"0","0","1","1","1","1","1","0","0",0.158904109589041
352,-0.186886414428647,-0.408302700023124,-0.0193485410625799,"0","0","0","0","1","0","0","0","0",0.506849315068493
354,-0.352214680764879,0.610023150651565,-0.198249549534178,"0","0","0","0","1","1","0","0","0",0.463013698630137
358,-0.675423994233008,-0.340414309978144,-0.206768645175682,"0","0","1","0","1","1","0","0","0",1.32602739726027
359,-0.684857138558498,-0.00097235975324824,-0.161264504313417,"0","0","1","1","1","1","1","0","0",0.416438356164384
365,-0.701737502088324,-0.408302700023124,-0.155655775145783,"0","0","0","0","1","1","0","1","0",2.54246575342466
366,0.0419914557845748,1.18707446603389,-0.146966297591448,"0","0","1","0","1","0","0","1","0",0.0191780821917808
377,0.228171935892944,-0.408302700023124,-0.257838919727374,"1","0","0","0","1","0","0","0","0",1.53424657534247
381,-0.661522518384916,-0.544079480113082,-0.237437389485099,"0","1","0","0","1","0","0","0","0",1.5041095890411
387,0.0663190385187351,-0.67985626020304,-0.121577688760636,"0","0","0","0","1","1","0","1","0",0.717808219178082
392,-0.0801429391665153,-0.204637529888186,-0.223806836458691,"0","0","0","0","1","1","0","0","0",0.0136986301369863
403,0.833879097845505,-0.00097235975324824,0.0147278415034387,"0","0","1","1","1","1","1","0","0",0.136986301369863
414,-0.707198796171503,-1.18901918554038,-0.263957334217103,"1","0","0","0","1","0","0","0","0",0.457534246575342
416,0.0946184714952071,-0.67985626020304,-0.238411000415557,"0","0","0","0","1","0","0","1","0",1.00547945205479
420,-0.49321536436695,-0.340414309978144,-0.25726132504288,"1","0","1","0","1","0","0","0","0",0.572602739726027
429,-0.634216047969022,0.406357980516627,-0.138275116217985,"0","0","0","0","1","1","1","0","0",0.0191780821917808
436,-0.525983128866023,-0.00097235975324824,-0.13009678440214,"0","0","1","0","1","1","0","0","0",1.17534246575342
438,-0.113407184945877,-0.00097235975324824,-0.226118237488145,"0","0","0","1","0","0","1","0","0",0.501369863013699
450,1.39341350073119,-0.408302700023124,-0.223081009510035,"0","0","0","0","1","0","0","1","0",0.16986301369863
455,-0.47385259443568,0.202692810381689,-0.245796326128543,"1","0","0","1","1","0","0","0","0",0.142465753424658
456,-0.725072122261906,-0.272525919933165,-0.245903666733626,"1","0","0","0","1","0","0","1","0",0.134246575342466
463,-0.329376541871585,-1.18901918554038,-0.274921410307719,"0","0","1","0","1","0","0","0","0",0.326027397260274
465,-0.500662583571285,-0.00097235975324824,-0.244252665998303,"0","0","1","0","1","1","0","0","0",0.178082191780822
471,0.692381932963145,-1.08718660047292,-0.0750634265580203,"0","0","1","1","0","0","0","1","0",2.43013698630137
476,0.427757410569116,-0.00097235975324824,-0.0193485410625799,"0","0","0","1","0","1","0","1","0",1.12328767123288
480,-0.347746349242278,-0.00097235975324824,-0.0405406433803869,"0","1","0","0","1","1","0","1","0",1.19178082191781
488,-0.205752703079628,-0.00097235975324824,-0.143483934695933,"0","0","0","0","1","1","0","0","0",1.41917808219178
492,4.1151238792754,1.62834900132625,0.0147278415034387,"0","0","0","0","1","1","0","1","0",1.82191780821918
499,0.234129711256412,-0.00097235975324824,0.684499140838534,"0","0","0","0","1","1","1","1","0",0.923287671232877
505,-0.723582678421039,-0.204637529888186,-0.219186078982739,"1","0","0","0","1","1","0","0","0",0.180821917808219
507,-0.092058489893451,0.813688320786502,-0.155654071326654,"0","0","0","0","1","0","0","0","0",0.254794520547945
508,0.0365301617013959,-2.37706601132752,-0.273101731478694,"0","0","1","0","1","0","0","1","0",0.747945205479452
510,-0.469384262913079,0.813688320786502,-0.104539497477626,"0","0","1","0","1","1","0","0","0",1.03561643835616
512,-0.661522518384916,-1.35874016065283,-0.236948393395277,"1","0","1","0","1","0","0","0","0",1.44657534246575
513,-0.53740219831267,1.62834900132625,-0.280032867692622,"0","0","0","0","1","1","0","1","0",1.91506849315068
514,-0.286182670486444,-0.00097235975324824,-0.234029751228497,"0","0","1","0","1","1","0","1","0",0.246575342465753
531,-0.764790624685025,0.813688320786502,-0.0704631149116078,"0","0","0","0","1","1","0","0","0",0.0164383561643836
535,-0.731526378905663,-0.00097235975324824,-0.274921410307719,"0","0","0","0","1","1","0","0","0",0.375342465753425
538,2.06118082271987,2.443009681866,-0.101131859221025,"0","0","0","1","1","1","1","1","0",0.747945205479452
549,-0.598469395788215,-0.849577235315488,0.743107111213829,"1","1","1","0","1","0","0","0","0",0.128767123287671
554,-0.539388123433826,-1.01929821042794,-0.245796326128543,"1","0","1","0","1","0","0","0","0",0.665753424657534
555,-0.59102217658388,-0.611967870158061,-0.191434443402887,"0","0","1","0","1","1","0","1","0",0.613698630136986
565,-0.603434208591105,-1.22296338056287,-0.259719936045018,"1","0","1","0","1","0","0","0","0",0.53972602739726
566,2.37843236082454,0.406357980516627,-0.25203741559551,"0","0","0","0","1","0","0","0","0",1.46027397260274
569,0.311580790981493,1.62834900132625,-0.184060143833687,"1","0","0","0","1","0","0","0","0",0.010958904109589
573,-0.406331140316378,0.677911540696544,0.0555445325410157,"0","0","0","1","1","1","1","1","0",1.55068493150685
575,-0.557261449524229,0.406357980516627,-0.104050501387804,"0","0","0","1","1","1","1","0","0",0.46027397260274
583,-0.70868824001237,-0.00097235975324824,-0.159065117221513,"0","0","1","0","1","1","0","1","0",2.05479452054795
594,-0.768265993647048,-1.69818211087773,-0.219186078982739,"1","0","0","0","1","0","0","0","0",0.561643835616438
596,-0.091065527332873,-0.204637529888186,-0.249721925400149,"1","0","0","0","1","0","0","0","0",0.854794520547945
600,0.465489987871078,-0.815633040292999,-0.226873710889633,"0","0","1","0","1","0","0","0","0",0.947945205479452
605,0.219235272847742,-0.408302700023124,-0.275560342480832,"1","0","1","0","1","0","0","0","0",0.161643835616438
614,-0.594001064265614,0.406357980516627,0.798484640521866,"0","0","0","1","0","1","0","1","0",0.635616438356164
616,-0.061276650515534,0.406357980516627,-0.245903666733626,"1","0","0","0","1","0","0","0","0",0.23013698630137
617,-0.100002190378075,-0.00097235975324824,0.0999170940993569,"0","0","1","0","1","0","0","0","0",0.402739726027397
618,-0.529458497828046,-0.0688607497982275,-0.247660304254904,"0","0","0","0","1","0","0","0","0",0.238356164383562
619,-0.606909577553128,-0.408302700023124,-0.20677034899481,"0","0","0","0","1","0","1","0","0",0.249315068493151
621,-0.626768828764687,0.13480442033671,-0.14713497568515,"0","0","0","0","1","1","0","1","0",0.0438356164383562
633,0.0087272100052129,-0.00097235975324824,-0.171531961783291,"0","0","0","1","0","0","0","0","0",0.153424657534247
636,-0.755853961639823,-0.00097235975324824,-0.237352198528684,"1","0","0","0","1","0","0","0","0",0.16986301369863
638,-0.488250551564061,-0.00097235975324824,0.0390651939320891,"0","0","0","0","1","1","0","1","0",0.153424657534247
640,-0.724079159701328,-0.00097235975324824,-0.236999507969126,"0","0","0","0","1","1","0","1","0",1.68767123287671
642,-0.696772689285434,-1.42662855069781,0.229405644031099,"0","1","0","1","0","0","0","0","0",0.241095890410959
645,-0.298594702493668,0.813688320786502,-0.138619287681902,"0","0","1","1","0","1","0","0","0",0.706849315068493
647,-0.524990166305445,1.62834900132625,-0.181213062070297,"0","0","0","0","1","1","0","0","0",0.764383561643836
668,-0.368102081734126,0.1687486153592,-0.223806836458691,"0","0","0","0","1","1","0","1","0",0.402739726027397
671,-0.480306851079437,-0.340414309978144,0.95155745482755,"0","0","0","1","1","1","1","1","0",1.11780821917808
685,-0.7523785926778,-0.74774465024802,-0.26726955860252,"1","0","0","0","1","0","0","0","0",0.183561643835616
687,-0.68882898880081,-0.883521430337978,-0.242933909992998,"1","0","0","0","1","0","0","0","0",1.08767123287671
691,0.130861604956303,-0.408302700023124,-0.1886604554801,"1","0","0","0","1","0","0","0","0",0.205479452054795
694,-0.453496861943832,-0.408302700023124,-0.134356332222893,"0","0","1","0","1","0","0","1","0",0.8
695,-0.579603107137234,2.57878646195596,-0.223806836458691,"0","0","0","0","1","1","1","0","0",1.06301369863014
697,-0.728547491223929,-0.272525919933165,-0.254475580768108,"1","0","0","0","1","1","0","0","0",1.63561643835616
708,1.5234915961669,0.610023150651565,-0.223806836458691,"0","0","0","0","1","0","0","0","0",0.50958904109589
710,0.210298609802541,-0.00097235975324824,0.221615782976507,"0","0","0","1","1","1","1","1","0",0.520547945205479
712,-0.669962700149829,-2.03762406110262,-0.240848435379957,"0","0","1","0","1","0","0","0","0",0.175342465753425
713,-0.642656229733935,-1.01929821042794,-0.253688416330833,"0","0","1","0","1","1","0","1","0",0.0356164383561644
714,-0.498676658450129,1.1531302710114,0.923423993381045,"0","1","0","1","0","1","0","1","0",0.827397260273973
716,-0.602441246030527,2.03567934159613,-0.0589163326791124,"0","0","0","0","1","1","0","0","0",0.69041095890411
725,-0.589532732743013,1.62834900132625,-0.143485395112329,"0","0","1","0","1","1","0","0","0",0.30958904109589
730,-0.543856454956427,-0.00097235975324824,0.398809564681547,"0","0","0","0","1","1","0","1","0",0.246575342465753
735,-0.272281194638352,0.406357980516627,0.219182729261294,"0","0","0","0","1","1","0","0","0",0.515068493150685
744,-0.550310711600184,0.677911540696544,-0.231111109061718,"0","0","0","1","0","0","0","0","0",0.36986301369863
747,-0.386968370385108,-0.00097235975324824,-0.192126023587064,"1","0","0","0","1","0","0","0","0",0.172602739726027
750,-0.765287105965314,-0.0688607497982275,-0.223806836458691,"0","0","1","0","1","1","0","1","0",0.282191780821918
751,-0.740463041950865,-0.408302700023124,-0.244758700279408,"1","0","1","0","1","0","0","0","0",0.153424657534247
759,-0.621307534681508,-0.67985626020304,-0.283662002435903,"0","0","1","1","1","1","0","0","0",0.150684931506849
774,-0.672445106551274,-0.611967870158061,-0.230640854982307,"1","0","1","0","1","1","0","0","0",0.56986301369863
799,-0.221640104048876,0.610023150651565,-0.143485395112329,"0","0","1","0","1","1","0","1","0",0.832876712328767
805,-0.686346582399365,-1.69818211087773,-0.26726955860252,"0","0","0","0","1","0","0","0","0",2.11506849315069
817,-0.138727730240616,-0.67985626020304,-0.0875013061946171,"0","0","1","0","1","1","1","1","0",0.336986301369863
818,-0.459454637307299,-0.00097235975324824,0.0147244338651821,"0","0","1","0","1","1","1","1","0",1.14246575342466
823,0.639754917252512,0.202692810381689,0.375736446046096,"0","0","1","1","1","1","1","1","0",0.123287671232877
829,-0.5766242194555,-0.408302700023124,-0.241800870272678,"0","0","0","0","1","1","0","0","0",0.0876712328767123
832,-0.641166785893068,-0.00097235975324824,0.866635701834775,"0","1","0","0","1","0","0","1","0",0.10958904109589
834,2.39531272435436,1.01735349092144,-0.0464392652025647,"0","0","0","1","0","1","0","1","0",0.0273972602739726
840,-0.724575640981617,-0.00097235975324824,-0.25788321902471,"0","0","1","0","1","1","1","1","0",0.517808219178082
842,-0.384982445263952,1.22101866105638,0.138028120361192,"0","0","1","1","1","1","1","0","0",1.07123287671233
846,-0.0156003727289474,0.338469590471648,-0.165390180631231,"0","0","0","1","1","1","1","1","0",2.45753424657534
850,-0.493711845647239,-0.67985626020304,-0.231111109061718,"0","0","0","0","1","0","1","1","0",0.0301369863013699
851,0.124903829592835,0.610023150651565,-0.121577688760636,"0","0","0","0","1","1","0","0","0",0.512328767123288
867,-0.717128421777282,-0.00097235975324824,-0.172692262609664,"0","0","0","0","1","1","0","1","0",2.45479452054795
872,-0.608895502674284,-0.408302700023124,-0.159402473408916,"0","0","1","0","1","1","0","0","0",0.545205479452055
878,-0.741456004511443,3.52922392258567,-0.238415381664744,"0","0","0","0","1","1","0","1","0",1.02465753424658
880,-0.533926829350647,-0.408302700023124,-0.261928085635297,"1","0","0","0","1","0","0","0","0",0.758904109589041
886,0.779762638294006,-0.00097235975324824,-0.0704631149116078,"0","0","0","0","1","1","0","1","0",0.671232876712329
887,2.31637220078841,0.813688320786502,-0.136912060915344,"0","0","0","0","1","1","0","1","0",0.786301369863014
890,0.265408031914618,-0.272525919933165,-0.0704631149116078,"0","1","0","0","1","0","0","1","0",0.742465753424657
895,-0.00716019096403469,-0.67985626020304,-0.189730453892673,"0","0","0","1","0","1","0","0","0",0.238356164383562
901,1.78215834319747,0.202692810381689,0.270327971854631,"0","1","0","0","1","1","0","0","0",1.2027397260274
904,-0.697269170565723,-0.408302700023124,-0.21650767531305,"0","1","1","0","1","1","0","1","0",0.608219178082192
912,-0.0448927682659974,-1.01929821042794,-0.261120475368482,"0","0","1","0","1","1","0","1","0",1.28767123287671
917,-0.398883921112043,0.813688320786502,-0.0638649536358961,"0","0","1","1","1","1","1","0","0",1.41095890410959
918,3.46572636465741,-0.408302700023124,-0.0811630990373377,"0","0","0","0","1","1","0","1","0",0.824657534246575
925,-0.502152027412152,0.813688320786502,-0.216504754480259,"0","0","0","0","1","0","0","1","0",0.786301369863014
928,0.0787310705259597,0.202692810381689,-0.134867477961383,"0","0","1","1","1","1","1","1","0",0.997260273972603
937,-0.716135459216704,0.406357980516627,-0.223806836458691,"0","0","0","0","1","1","0","1","0",0.668493150684932
945,-0.709184721292659,2.10356773164111,0.0786074282616971,"0","1","0","0","1","1","0","1","0",0.435616438356164
946,0.490314051885528,-1.35874016065283,-0.234029751228497,"0","1","1","0","1","0","0","1","0",2.09041095890411
949,0.458539249947033,0.677911540696544,-0.212004481356951,"1","0","0","0","1","0","0","0","0",1.54246575342466
956,-0.700248058247457,-1.35874016065283,-0.226433614408793,"0","0","0","1","0","1","0","1","0",0.336986301369863
969,-0.638187898211334,-0.815633040292999,-0.208503133048293,"1","0","1","0","1","0","0","1","0",0.857534246575342
975,-0.651096411498847,-0.67985626020304,-0.17999653521269,"0","0","1","0","1","1","1","0","0",1.65753424657534
977,0.965446637122086,1.1531302710114,-0.132194185749079,"0","0","0","0","1","1","0","0","0",1.57808219178082
981,0.487831645484083,0.813688320786502,-0.238415381664744,"0","0","0","1","0","1","0","1","0",0.328767123287671
987,-0.179439195224312,-1.01929821042794,-0.256872854281628,"0","0","1","0","1","1","0","1","0",0.375342465753425
988,-0.70868824001237,-0.00097235975324824,-0.204030607836503,"0","0","0","1","1","0","1","1","0",1.07945205479452
990,-0.362144306370658,0.406357980516627,-0.141049907369789,"0","0","1","0","1","1","1","1","0",2.38356164383562
993,-0.699751576967168,-0.340414309978144,-0.249364123383205,"0","0","0","0","1","1","0","1","0",0.224657534246575
1004,3.39671546669724,-0.74774465024802,-0.172692262609664,"0","0","0","0","1","1","0","0","0",0.482191780821918
1007,-0.603930689871394,0.813688320786502,-0.121577688760636,"0","0","0","0","1","1","0","0","0",0.605479452054794
1009,1.23404300975843,-0.815633040292999,-0.271271829734899,"0","0","0","0","1","0","0","0","0",0.33972602739726
1011,0.119939016789945,-0.408302700023124,0.31246682653577,"0","0","0","0","1","1","0","1","0",0.0164383561643836
1019,-0.441581311216896,-0.408302700023124,-0.209203402710024,"0","0","1","0","1","0","0","0","0",0.8
1020,-0.233059173495523,-0.00097235975324824,-0.0704631149116078,"0","0","0","1","1","1","1","1","0",0.901369863013699
1031,-0.749896186276355,-0.815633040292999,-0.0023120535986989,"0","0","0","0","1","0","0","1","0",1.99178082191781
1046,3.10776336156905,1.22101866105638,13.7396724476187,"0","0","0","1","1","1","0","1","0",0.221917808219178
1055,-0.566198112569431,-0.408302700023124,-0.25788321902471,"0","0","1","0","1","1","0","0","0",0.873972602739726
1056,-0.754364517798956,0.13480442033671,0.114638091367877,"0","0","1","0","1","1","0","1","0",0.482191780821918
1064,0.364704287972415,-0.815633040292999,-0.121577688760636,"0","0","1","1","1","1","0","1","0",0.0958904109589041
1068,0.0628436695567122,7.33097376510451,-0.121577688760636,"1","0","0","1","0","1","0","0","0",0.917808219178082
1069,-0.645138636135379,-0.408302700023124,-0.25788321902471,"0","0","0","0","1","0","1","0","0",1.60547945205479
1077,-0.41526780336158,0.610023150651565,-0.0960204018361218,"0","0","1","0","1","1","0","1","0",0.619178082191781
1078,-0.73798063554942,-0.815633040292999,-0.234029751228497,"0","0","1","0","1","1","1","1","0",0.786301369863014
1085,-0.628258272605554,-0.340414309978144,0.135017471961484,"0","0","1","0","1","1","0","1","0",0.646575342465753
1093,-0.487754070283772,0.406357980516627,0.0828806066354759,"0","1","0","1","1","1","1","0","0",0.572602739726027
1099,-0.292140445849912,-0.00097235975324824,-0.164176574606416,"0","0","0","0","1","1","0","1","0",0.115068493150685
1106,-0.729540453784507,-0.408302700023124,-0.235609191560432,"0","1","1","1","0","1","0","1","0",0.728767123287671
1109,-0.495201289488106,-0.204637529888186,0.031766032786448,"0","0","0","1","1","1","1","1","0",0.421917808219178
1115,-0.726561566102773,0.406357980516627,-0.227214474715293,"0","0","0","0","1","1","0","1","0",0.0328767123287671
1117,-0.671452143990696,0.406357980516627,0.031766032786448,"0","0","0","0","1","1","0","1","0",0.824657534246575
1120,1.14368341674583,-0.67985626020304,-0.198249549534178,"0","0","1","0","1","0","0","1","0",0.772602739726027
1125,-0.355193568446613,-0.00097235975324824,0.0999187979184852,"0","0","1","0","1","1","0","1","0",1.16712328767123
1127,0.0876677335711614,-0.00097235975324824,-0.0704631149116078,"0","0","0","0","1","1","0","1","0",0.164383561643836
