"lt.laudo.gana.df.tipo_de_abogado","lt.laudo.gana.df.giro_empresa","lt.laudo.gana.df.trab_base","lt.laudo.gana.df.acci_on_principal","lt.laudo.gana.df.causa","lt.laudo.gana.df.sueldo_diario_integrado","lt.laudo.gana.df.gen","lt.laudo.gana.df.horas","lt.laudo.gana.df.reinstalacion_t","lt.laudo.gana.df.indem_const_t","lt.laudo.gana.df.sal_caidos_t","lt.laudo.gana.df.rec_hr_extra","lt.laudo.gana.df.rec_20_d_ias_t","lt.laudo.gana.df.sarimssinfo","lt.laudo.gana.df.y","lt.laudo.gana.df.cod_imss","lt.laudo.gana.df.antig_anos","lt.laudo.gana.df.id"
"1","3","0","2","0",1058.25,"0",48,"0","1","1","0","0","0",350000,"1",3.830136986,2301
"0","7","1","2","0",798.28,"1",51,"0","1","1","0","0","0",79030,"1",4.443835616,2303
"1","1","0","2","0",145.28,"0",54,"0","1","1","0","0","0",158274,"1",0.95890411,2308
"0","2","0","2","0",233.33,"0",51,"0","1","1","1","1","0",60000,"1",7.860273973,2309
"0","2","0","1","0",112.56,"0",50,"1","1","1","1","0","0",50000,"1",2.915068493,2310
"0","4","0","1","0",500,"0",60,"1","1","1","1","1","0",25000,"1",0.591780822,2311
"0","2","0","1","0",1883.64,"0",66,"1","1","1","1","0","1",160000,"1",10.36986301,2312
"0","2","0","1","0",1607.72,"0",66,"1","1","1","1","0","1",160000,"1",10.20821918,2313
"0","2","0","1","0",1782.09,"0",66,"1","1","1","1","0","1",160000,"1",13.34794521,2314
"0","2","0","1","0",2494.99,"0",48,"0","1","1","1","0","0",189575,"0",31.62465753,2332
"0","1","1","2","0",106.66,"0",60,"0","1","1","1","0","0",675000,"0",14.05753425,2333
"0","3","0","2","0",114.29,"0",39,"0","1","1","0","0","0",55252.72,"0",0.271232877,2342
"0","1","1","2","0",766.67,"0",60,"0","1","1","1","0","0",160000,"0",9.484931507,2343
"0","2","0","2","0",666.66,"0",63,"1","1","1","1","0","1",515328.18,"0",10.23013699,2344
"0","2","1","2","0",954.13,"0",60,"0","1","1","1","0","0",150286.2,"0",1.830136986,2348
"0","2","1","2","0",343.66,"1",52.5,"0","1","1","1","0","0",11856.37,"0",3.887671233,2349
"0","1","0","2","0",100,"0",66,"0","1","1","1","0","1",35000,"0",40.88219178,2351
"0","1","0","2","0",206.67,"0",66,"0","1","1","1","0","0",46085.18,"0",4.276712329,2355
"0","7","0","2","0",589.78,"0",72,"0","1","1","0","0","0",200000,"0",0.687671233,2359
"0","5","0","2","0",214.28,"0",66,"0","1","1","0","0","0",100000,"0",1.950684932,2362
"0","1","0","1","0",1428.57,"1",72,"1","1","1","1","0","0",345000,"0",1.142465753,2363
"0","11","0","2","0",270,"1",66,"0","1","1","1","0","0",140000,"0",4.106849315,2366
"1","7","0","2","0",149.3,"1",53,"0","1","1","0","0","0",15177.68,"0",4.019178082,2369
"0","7","0","2","0",441.47,"0",40,"0","1","1","0","1","0",756585.08,"0",20.46027397,2371
"0","2","0","2","0",302,"0",60,"0","1","1","0","0","1",209414.75,"0",1.589041096,2373
"0","7","0","1","0",996.43,"0",60,"1","1","1","0","0","0",750000,"0",2.183561644,2375
"0","6","0","2","0",323.8,"1",72,"0","1","1","1","0","0",110000,"0",3.78630137,2380
"0","5","1","2","0",339.07,"0",66,"0","1","1","0","0","0",175000,"0",5.542465753,2381
"0","3","0","2","0",571.42,"1",50,"0","1","1","1","0","0",9000,"0",1.487671233,2416
"0","2","0","2","0",554,"1",60,"0","1","1","1","0","1",448705.37,"0",2.838356164,2437
"0","7","0","2","1",785.83,"0",50,"0","1","1","1","1","1",195000,"0",10.48767123,2442
"0","2","0","2","0",600,"0",60,"0","1","1","1","0","1",20000,"0",6.046575342,2443
"0","7","0","2","0",166.66,"0",57,"0","1","1","1","0","0",35000,"0",1.093150685,2444
"0","7","0","2","0",228.83,"0",55,"0","1","1","1","0","0",60000,"0",1.134246575,2445
"0","5","0","1","0",400,"0",57,"1","0","1","1","0","1",35000,"0",0.939726027,2446
"0","3","0","1","0",366.67,"0",72,"1","0","0","1","0","1",58208.91,"0",0.17260274,2447
"0","1","0","2","0",417.52,"1",60,"0","1","1","1","0","0",100000,"0",6.454794521,2449
"0","6","0","1","0",600,"1",60,"1","1","1","1","1","0",100000,"0",0.065753425,2450
"0","2","1","2","0",500,"0",60,"0","1","1","1","0","0",250000,"0",1.720547945,2453
"0","7","1","2","0",2239.99,"1",96,"0","1","1","1","0","0",475000,"0",3.934246575,2454
"0","7","0","2","0",333.33,"1",48,"0","1","1","1","0","0",100000,"0",1.336986301,2455
"0","1","1","1","0",550.4,"0",60,"1","0","1","1","1","1",1818,"0",3.939726027,2457
"0","2","0","2","0",133.34,"1",45,"0","1","1","1","0","1",20000,"0",1.016438356,2458
"1","1","0","2","0",213,"0",50,"0","1","1","0","0","0",238000,"0",6.789041096,2460
"0","2","0","2","0",487.13,"1",48,"0","1","1","0","0","0",70000,"0",6.780821918,2461
"0","6","0","1","0",800,"1",60,"1","0","1","0","0","0",160000,"0",11.40273973,2462
"0","3","0","2","0",450,"0",72,"0","1","1","1","0","0",70000,"0",2.936986301,2468
"1","8","0","2","0",240.39,"1",50,"0","1","1","0","0","0",80000,"0",0.115068493,2469
"0","1","0","2","0",500,"1",66,"0","1","1","1","0","0",300000,"0",17.37808219,2470
"0","7","0","1","0",931.67,"0",45,"1","0","1","0","0","0",422978,"0",4.704109589,2471
"1","3","0","2","0",419.16,"0",60,"0","1","1","0","0","0",150000,"0",3.764383562,2472
"0","2","0","2","0",312.67,"1",66,"0","1","1","1","0","0",80000,"0",10.74520548,2473
"0","7","1","1","0",800,"0",51,"1","0","1","1","0","1",70000,"0",3.169863014,2474
"0","7","0","1","0",260.56,"0",55,"1","1","1","0","1","0",40997,"0",4,2476
"0","1","0","1","0",554.41,"1",48,"1","1","1","0","1","0",81775.47,"0",30.70958904,2478
"0","7","0","2","0",415.45,"0",48,"0","1","1","1","0","0",224829.2,"0",1.789041096,2480
"1","3","0","2","0",136.4,"1",40,"0","1","1","0","0","0",191903.5,"0",3.090410959,2482
"0","5","0","1","0",433.33,"0",60,"1","1","1","1","1","0",30000,"0",10.97534247,2493
"0","7","0","2","0",212.65,"1",49,"0","1","1","0","0","1",13542.39,"0",13.86575342,2497
"0","7","0","1","0",557.15,"0",66.5,"1","1","1","0","0","0",58848.5,"0",4.616438356,2498
"0","7","0","2","0",546,"0",54,"0","1","1","0","1","0",150000,"0",3.216438356,2499
"0","1","0","2","0",367.9,"0",60,"0","1","1","1","0","1",83677,"0",2.589041096,2503
"0","7","0","2","0",188,"0",50,"0","1","1","1","1","0",7979,"0",5.082191781,2504
"0","6","0","2","0",588,"0",56,"0","1","1","0","1","0",196510,"0",6.778082192,2505
"0","1","0","1","0",1365.95,"0",60,"1","1","1","1","1","0",300000,"0",10.30410959,2506
"0","3","0","2","0",496.55,"0",30,"0","1","1","1","0","1",60000,"0",0.939726027,2507
